business_id,yelpPage
mekong-bk-brooklyn,https://www.yelp.com/biz/mekong-bk-brooklyn
t2-boerum-hill,https://www.yelp.com/biz/t2-boerum-hill
sun-luck-kitchen-brooklyn,https://www.yelp.com/biz/sun-luck-kitchen-brooklyn
starbucks-brooklyn-29,https://www.yelp.com/biz/starbucks-brooklyn-29
russos-mozzarella-and-pasta-park-slope,https://www.yelp.com/biz/russos-mozzarella-and-pasta-park-slope
connecticut-muffin-brooklyn-2,https://www.yelp.com/biz/connecticut-muffin-brooklyn-2
teriyaki-burrito-house-brooklyn-5,https://www.yelp.com/biz/teriyaki-burrito-house-brooklyn-5
applebees-grill-bar-brooklyn-3,https://www.yelp.com/biz/applebees-grill-bar-brooklyn-3
hot-chix-brooklyn,https://www.yelp.com/biz/hot-chix-brooklyn
la-bagel-delight-brooklyn-5,https://www.yelp.com/biz/la-bagel-delight-brooklyn-5
starbucks-brooklyn-5,https://www.yelp.com/biz/starbucks-brooklyn-5
dulcinea-churros-brooklyn-2,https://www.yelp.com/biz/dulcinea-churros-brooklyn-2
chan-yang-garden-brooklyn,https://www.yelp.com/biz/chan-yang-garden-brooklyn
the-flamingo-brooklyn,https://www.yelp.com/biz/the-flamingo-brooklyn
pipitone-pizzeria-brooklyn,https://www.yelp.com/biz/pipitone-pizzeria-brooklyn
watami-sushi-and-grill-brooklyn-2,https://www.yelp.com/biz/watami-sushi-and-grill-brooklyn-2
two-tablespoons-brooklyn,https://www.yelp.com/biz/two-tablespoons-brooklyn
hungry-ghost-brooklyn-2,https://www.yelp.com/biz/hungry-ghost-brooklyn-2
bison-and-bourbon-brooklyn,https://www.yelp.com/biz/bison-and-bourbon-brooklyn
regular-visitors-brooklyn,https://www.yelp.com/biz/regular-visitors-brooklyn
cold-stone-creamery-brooklyn,https://www.yelp.com/biz/cold-stone-creamery-brooklyn
michel-et-augustin-gowanus,https://www.yelp.com/biz/michel-et-augustin-gowanus
starbucks-brooklyn-19,https://www.yelp.com/biz/starbucks-brooklyn-19
pronto-pizza-brooklyn,https://www.yelp.com/biz/pronto-pizza-brooklyn
alibi-brooklyn,https://www.yelp.com/biz/alibi-brooklyn
fulton-hall-brooklyn,https://www.yelp.com/biz/fulton-hall-brooklyn
home-brooklyn-10,https://www.yelp.com/biz/home-brooklyn-10
chuck-e-cheeses-brooklyn,https://www.yelp.com/biz/chuck-e-cheeses-brooklyn
szechuan-delight-restaurant-brooklyn,https://www.yelp.com/biz/szechuan-delight-restaurant-brooklyn
black-walnut-public-house-brooklyn,https://www.yelp.com/biz/black-walnut-public-house-brooklyn
natto-hibachi-and-sushi-brooklyn,https://www.yelp.com/biz/natto-hibachi-and-sushi-brooklyn
autumn-asian-restaurant-brooklyn,https://www.yelp.com/biz/autumn-asian-restaurant-brooklyn
2-bros-pizza-brooklyn,https://www.yelp.com/biz/2-bros-pizza-brooklyn
the-great-georgiana-brooklyn,https://www.yelp.com/biz/the-great-georgiana-brooklyn
vivi-bubble-tea-brooklyn-5,https://www.yelp.com/biz/vivi-bubble-tea-brooklyn-5
mumbai-place-brooklyn,https://www.yelp.com/biz/mumbai-place-brooklyn
shaka-shaka-tiki-brooklyn,https://www.yelp.com/biz/shaka-shaka-tiki-brooklyn
the-old-stone-house-brooklyn,https://www.yelp.com/biz/the-old-stone-house-brooklyn
park-slope-neighborhood-brooklyn,https://www.yelp.com/biz/park-slope-neighborhood-brooklyn
montauk-club-brooklyn,https://www.yelp.com/biz/montauk-club-brooklyn
shawarma-and-grill-brooklyn,https://www.yelp.com/biz/shawarma-and-grill-brooklyn
toribei-brooklyn,https://www.yelp.com/biz/toribei-brooklyn
tio-pio-brooklyn-11,https://www.yelp.com/biz/tio-pio-brooklyn-11
checkers-brooklyn,https://www.yelp.com/biz/checkers-brooklyn
yummy-thai-brooklyn-106,https://www.yelp.com/biz/yummy-thai-brooklyn-106
chop-chop-brooklyn,https://www.yelp.com/biz/chop-chop-brooklyn
luv-n-oven-pizza-brooklyn,https://www.yelp.com/biz/luv-n-oven-pizza-brooklyn
papa-johns-pizza-brooklyn-6,https://www.yelp.com/biz/papa-johns-pizza-brooklyn-6
sunnys-bagels-brooklyn,https://www.yelp.com/biz/sunnys-bagels-brooklyn
chonchos-tacos-brooklyn-2,https://www.yelp.com/biz/chonchos-tacos-brooklyn-2
good-joy-brooklyn,https://www.yelp.com/biz/good-joy-brooklyn
raindrop-cake-brooklyn,https://www.yelp.com/biz/raindrop-cake-brooklyn
greene-bites-brooklyn,https://www.yelp.com/biz/greene-bites-brooklyn
subway-brooklyn-43,https://www.yelp.com/biz/subway-brooklyn-43
7th-avenue-gourmet-brooklyn,https://www.yelp.com/biz/7th-avenue-gourmet-brooklyn
gowanus-canal-gowanus,https://www.yelp.com/biz/gowanus-canal-gowanus
golden-krust-bakery-brooklyn-3,https://www.yelp.com/biz/golden-krust-bakery-brooklyn-3
santa-fe-veracruzano-brooklyn,https://www.yelp.com/biz/santa-fe-veracruzano-brooklyn
metro-finest-deli-brooklyn-2,https://www.yelp.com/biz/metro-finest-deli-brooklyn-2
maison-may-vanderbilt-brooklyn,https://www.yelp.com/biz/maison-may-vanderbilt-brooklyn
popeyes-louisiana-kitchen-brooklyn-30,https://www.yelp.com/biz/popeyes-louisiana-kitchen-brooklyn-30
yang-no-1-asian-restaurant-brooklyn,https://www.yelp.com/biz/yang-no-1-asian-restaurant-brooklyn
hungry-ghost-coffee-brooklyn,https://www.yelp.com/biz/hungry-ghost-coffee-brooklyn
apple-gourmet-brooklyn,https://www.yelp.com/biz/apple-gourmet-brooklyn
the-original-fresco-tortillas-brooklyn,https://www.yelp.com/biz/the-original-fresco-tortillas-brooklyn
krispy-krunchy-chicken-downtown-brooklyn,https://www.yelp.com/biz/krispy-krunchy-chicken-downtown-brooklyn
dunkin-donuts-brooklyn-44,https://www.yelp.com/biz/dunkin-donuts-brooklyn-44
cesars-cafe-brooklyn,https://www.yelp.com/biz/cesars-cafe-brooklyn
panda-delight-brooklyn,https://www.yelp.com/biz/panda-delight-brooklyn
honey-baked-ham-company-brooklyn,https://www.yelp.com/biz/honey-baked-ham-company-brooklyn
mcdonalds-brooklyn-12,https://www.yelp.com/biz/mcdonalds-brooklyn-12
downtown-gourmet-deli-brooklyn,https://www.yelp.com/biz/downtown-gourmet-deli-brooklyn
chung-hing-brooklyn,https://www.yelp.com/biz/chung-hing-brooklyn
chipotle-mexican-grill-brooklyn-19,https://www.yelp.com/biz/chipotle-mexican-grill-brooklyn-19
texano-tex-mex-grill-brooklyn,https://www.yelp.com/biz/texano-tex-mex-grill-brooklyn
7-eleven-brooklyn-27,https://www.yelp.com/biz/7-eleven-brooklyn-27
haenyeo-brooklyn,https://www.yelp.com/biz/haenyeo-brooklyn
lanos-coffee-shop-and-restaurant-brooklyn,https://www.yelp.com/biz/lanos-coffee-shop-and-restaurant-brooklyn
misdemeanor-brooklyn-4,https://www.yelp.com/biz/misdemeanor-brooklyn-4
masami-japanese-cuisine-brooklyn,https://www.yelp.com/biz/masami-japanese-cuisine-brooklyn
joes-pizza-of-park-slope-brooklyn-3,https://www.yelp.com/biz/joes-pizza-of-park-slope-brooklyn-3
natural-plus-brooklyn,https://www.yelp.com/biz/natural-plus-brooklyn
lins-garden-restaurant-brooklyn,https://www.yelp.com/biz/lins-garden-restaurant-brooklyn
